"Time Frame","Date","Ta (°C)","Tm (°C)","I3 (W/m2)","I15 (W/m2)","P (kW)","","",""
"17","3/8/12 5:54 PM","14.70566666666667","14.31266666666667","0","0","0","","",""
"18","3/8/12 6:54 PM","13.4825","10.811","0","0","0","","",""
"19","3/8/12 7:54 PM","13.05216666666667","10.34333333333333","0","0","0","","",""
"20","3/8/12 8:54 PM","13.15166666666667","11.20666666666667","0","0","0","","",""
"21","3/8/12 9:54 PM","12.69483333333333","10.01316666666666","0","0","0","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","0","0","0","0","0","0","","",""
"4","3/9/12 4:54 AM","10.6404","6.2986","0","0","0","","",""
"5","3/9/12 5:54 AM","9.658833333333334","5.188833333333333","24.05916666666667","49.66250000000001","18.74906666666667","","",""
"6","3/9/12 6:54 AM","9.911500000000002","5.779833333333333","156.2599999999999","216.9745","143.5879","","",""
"7","3/9/12 7:54 AM","12.32133333333333","11.28566666666667","207.9483333333333","232.9993333333333","182.6488833333333","","",""
"8","3/9/12 8:54 AM","13.9715","16.463","369.8368333333334","405.0495","346.0361166666664","","",""
"9","3/9/12 9:54 AM","16.29883333333333","24.4485","309.9790000000001","316.3173333333334","289.4790000000001","","",""
"10","3/9/12 10:54 AM","17.38866666666667","27.98466666666667","331.2793333333335","325.7851666666667","302.0247833333332","","",""
"11","3/9/12 11:54 AM","18.05633333333333","28.632","413.3698333333335","412.9078333333331","386.0877333333333","","",""
"12","3/9/12 12:54 PM","19.14083333333333","34.03266666666667","238.9318333333334","244.8228333333333","217.4367499999999","","",""
"13","3/9/12 1:54 PM","16.75483333333333","21.80666666666667","129.1098333333334","111.1598333333333","118.67685","","",""
"14","3/9/12 2:54 PM","15.54283333333333","16.59466666666667","155.7473333333334","151.59","137.5767166666666","","",""
"15","3/9/12 3:54 PM","15.42333333333333","16.37616666666667","86.98233333333336","86.89500000000002","76.67405000000001","","",""
"16","3/9/12 4:54 PM","14.9515","15.1","11.51916666666666","11.617","8.900199999999996","","",""
"17","3/9/12 5:54 PM","13.6045","12.4515","0","0","0","","",""
"18","3/9/12 6:54 PM","12.8815","11.5965","0","0","0","","",""
"19","3/9/12 7:54 PM","12.83116666666667","11.07433333333333","0","0","0","","",""
"20","3/9/12 8:54 PM","12.9715","10.8885","0","0","0","","",""
"21","3/9/12 9:54 PM","12.76883333333333","10.862","0","0","0","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","0","0","0","0","0","0","","",""
"4","3/10/12 4:54 AM","11.43266666666667","9.978400000000001","0","0","0","","",""
"5","3/10/12 5:54 AM","11.55083333333333","10.75933333333333","8.279666666666667","8.256166666666667","5.099583333333332","","",""
"6","3/10/12 6:54 AM","11.519","10.71433333333333","44.64516666666667","45.188","34.34656666666667","","",""
"7","3/10/12 7:54 AM","11.93433333333333","11.511","131.193","131.8811666666667","111.1597333333333","","",""
"8","3/10/12 8:54 AM","12.78433333333333","13.293","305.1068333333334","314.8208333333333","271.7240833333333","","",""
